table,column,verdict,anchor,anchor_share,onset,share_2026,history
depth_charts,club_code,silently-dead,2025,0.0,2025,0.0,2001:1.00 2002:1.00 2003:1.00 2004:1.00 2005:1.00 2006:1.00 2007:1.00 2008:1.00 2009:1.00 2010:1.00 2011:1.00 2012:1.00 2013:1.00 2014:1.00 2015:1.00 2016:1.00 2017:1.00 2018:1.00 2019:1.00 2020:1.00 2021:1.00 2022:1.00 2023:1.00 2024:1.00 2025:0.00 2026:0.00
depth_charts,week,silently-dead,2025,0.0,2025,0.0,2001:0.96 2002:1.00 2003:1.00 2004:1.00 2005:1.00 2006:1.00 2007:0.99 2008:0.99 2009:0.99 2010:0.99 2011:0.99 2012:0.99 2013:0.99 2014:1.00 2015:0.99 2016:0.99 2017:0.99 2018:0.99 2019:0.99 2020:0.99 2021:0.99 2022:0.99 2023:0.99 2024:0.99 2025:0.00 2026:0.00
depth_charts,game_type,silently-dead,2025,0.0,2025,0.0,2001:1.00 2002:1.00 2003:1.00 2004:1.00 2005:1.00 2006:1.00 2007:1.00 2008:1.00 2009:1.00 2010:1.00 2011:1.00 2012:1.00 2013:1.00 2014:1.00 2015:1.00 2016:1.00 2017:1.00 2018:1.00 2019:1.00 2020:1.00 2021:1.00 2022:1.00 2023:1.00 2024:1.00 2025:0.00 2026:0.00
depth_charts,depth_team,silently-dead,2025,0.0,2025,0.0,2001:1.00 2002:1.00 2003:1.00 2004:1.00 2005:1.00 2006:1.00 2007:1.00 2008:1.00 2009:1.00 2010:1.00 2011:1.00 2012:1.00 2013:1.00 2014:1.00 2015:1.00 2016:1.00 2017:1.00 2018:1.00 2019:1.00 2020:1.00 2021:1.00 2022:1.00 2023:1.00 2024:1.00 2025:0.00 2026:0.00
depth_charts,last_name,silently-dead,2025,0.0,2025,0.0,2001:1.00 2002:1.00 2003:1.00 2004:1.00 2005:1.00 2006:1.00 2007:1.00 2008:1.00 2009:1.00 2010:1.00 2011:1.00 2012:1.00 2013:1.00 2014:1.00 2015:1.00 2016:1.00 2017:1.00 2018:1.00 2019:1.00 2020:1.00 2021:1.00 2022:1.00 2023:1.00 2024:1.00 2025:0.00 2026:0.00
depth_charts,first_name,silently-dead,2025,0.0,2025,0.0,2001:1.00 2002:1.00 2003:1.00 2004:1.00 2005:1.00 2006:1.00 2007:1.00 2008:1.00 2009:1.00 2010:1.00 2011:1.00 2012:1.00 2013:1.00 2014:1.00 2015:1.00 2016:1.00 2017:1.00 2018:1.00 2019:1.00 2020:1.00 2021:1.00 2022:1.00 2023:1.00 2024:1.00 2025:0.00 2026:0.00
depth_charts,football_name,silently-dead,2025,0.0,2025,0.0,2001:1.00 2002:1.00 2003:1.00 2004:1.00 2005:1.00 2006:1.00 2007:1.00 2008:1.00 2009:1.00 2010:1.00 2011:1.00 2012:1.00 2013:1.00 2014:1.00 2015:1.00 2016:1.00 2017:1.00 2018:1.00 2019:1.00 2020:1.00 2021:1.00 2022:1.00 2023:1.00 2024:1.00 2025:0.00 2026:0.00
depth_charts,formation,silently-dead,2025,0.0,2025,0.0,2001:1.00 2002:1.00 2003:1.00 2004:1.00 2005:1.00 2006:1.00 2007:1.00 2008:1.00 2009:1.00 2010:1.00 2011:1.00 2012:1.00 2013:1.00 2014:1.00 2015:1.00 2016:1.00 2017:1.00 2018:1.00 2019:1.00 2020:1.00 2021:1.00 2022:1.00 2023:1.00 2024:1.00 2025:0.00 2026:0.00
depth_charts,gsis_id,healthy,2025,0.99,,0.991,2001:1.00 2002:1.00 2003:1.00 2004:1.00 2005:1.00 2006:1.00 2007:1.00 2008:1.00 2009:1.00 2010:1.00 2011:1.00 2012:1.00 2013:1.00 2014:1.00 2015:1.00 2016:1.00 2017:1.00 2018:1.00 2019:1.00 2020:1.00 2021:1.00 2022:1.00 2023:1.00 2024:1.00 2025:0.99 2026:0.99
depth_charts,jersey_number,silently-dead,2025,0.0,2025,0.0,2001:0.99 2002:1.00 2003:1.00 2004:1.00 2005:1.00 2006:1.00 2007:1.00 2008:1.00 2009:1.00 2010:1.00 2011:1.00 2012:1.00 2013:1.00 2014:1.00 2015:1.00 2016:1.00 2017:1.00 2018:1.00 2019:1.00 2020:1.00 2021:1.00 2022:1.00 2023:1.00 2024:1.00 2025:0.00 2026:0.00
depth_charts,position,silently-dead,2025,0.0,2025,0.0,2001:1.00 2002:1.00 2003:1.00 2004:1.00 2005:1.00 2006:1.00 2007:1.00 2008:1.00 2009:1.00 2010:1.00 2011:1.00 2012:1.00 2013:1.00 2014:1.00 2015:1.00 2016:1.00 2017:1.00 2018:1.00 2019:1.00 2020:1.00 2021:1.00 2022:1.00 2023:1.00 2024:1.00 2025:0.00 2026:0.00
depth_charts,elias_id,silently-dead,2025,0.0,2025,0.0,2001:1.00 2002:1.00 2003:1.00 2004:1.00 2005:1.00 2006:1.00 2007:1.00 2008:1.00 2009:1.00 2010:1.00 2011:1.00 2012:1.00 2013:1.00 2014:1.00 2015:1.00 2016:1.00 2017:1.00 2018:1.00 2019:1.00 2020:1.00 2021:1.00 2022:1.00 2023:1.00 2024:1.00 2025:0.00 2026:0.00
depth_charts,depth_position,silently-dead,2025,0.0,2025,0.0,2001:1.00 2002:1.00 2003:1.00 2004:1.00 2005:1.00 2006:1.00 2007:1.00 2008:1.00 2009:1.00 2010:1.00 2011:1.00 2012:1.00 2013:1.00 2014:1.00 2015:1.00 2016:1.00 2017:1.00 2018:1.00 2019:1.00 2020:1.00 2021:1.00 2022:1.00 2023:1.00 2024:1.00 2025:0.00 2026:0.00
depth_charts,full_name,silently-dead,2025,0.0,2025,0.0,2001:1.00 2002:1.00 2003:1.00 2004:1.00 2005:1.00 2006:1.00 2007:1.00 2008:1.00 2009:1.00 2010:1.00 2011:1.00 2012:1.00 2013:1.00 2014:1.00 2015:1.00 2016:1.00 2017:1.00 2018:1.00 2019:1.00 2020:1.00 2021:1.00 2022:1.00 2023:1.00 2024:1.00 2025:0.00 2026:0.00
depth_charts,dt,new-in-anchor,2025,1.0,2025,1.0,2001:0.00 2002:0.00 2003:0.00 2004:0.00 2005:0.00 2006:0.00 2007:0.00 2008:0.00 2009:0.00 2010:0.00 2011:0.00 2012:0.00 2013:0.00 2014:0.00 2015:0.00 2016:0.00 2017:0.00 2018:0.00 2019:0.00 2020:0.00 2021:0.00 2022:0.00 2023:0.00 2024:0.00 2025:1.00 2026:1.00
depth_charts,team,new-in-anchor,2025,1.0,2025,1.0,2001:0.00 2002:0.00 2003:0.00 2004:0.00 2005:0.00 2006:0.00 2007:0.00 2008:0.00 2009:0.00 2010:0.00 2011:0.00 2012:0.00 2013:0.00 2014:0.00 2015:0.00 2016:0.00 2017:0.00 2018:0.00 2019:0.00 2020:0.00 2021:0.00 2022:0.00 2023:0.00 2024:0.00 2025:1.00 2026:1.00
depth_charts,player_name,new-in-anchor,2025,0.999,2025,0.999,2001:0.00 2002:0.00 2003:0.00 2004:0.00 2005:0.00 2006:0.00 2007:0.00 2008:0.00 2009:0.00 2010:0.00 2011:0.00 2012:0.00 2013:0.00 2014:0.00 2015:0.00 2016:0.00 2017:0.00 2018:0.00 2019:0.00 2020:0.00 2021:0.00 2022:0.00 2023:0.00 2024:0.00 2025:1.00 2026:1.00
depth_charts,espn_id,new-in-anchor,2025,1.0,2025,1.0,2001:0.00 2002:0.00 2003:0.00 2004:0.00 2005:0.00 2006:0.00 2007:0.00 2008:0.00 2009:0.00 2010:0.00 2011:0.00 2012:0.00 2013:0.00 2014:0.00 2015:0.00 2016:0.00 2017:0.00 2018:0.00 2019:0.00 2020:0.00 2021:0.00 2022:0.00 2023:0.00 2024:0.00 2025:1.00 2026:1.00
