source_file,study,tier,window,metric,verdict,n_folds,n_arms,fold_win_rate,fold_wins,pct_lift_vs_foil,pbo,dsr,observed_sr,sr0,var_trials_sr,p_one_sided,bh_cutoff,bound_by,null_state,reason,retest_trigger,folds_needed,extra_seasons,max_field_size,legacy_clause_passes,calibrated_clause_passes,extraction
quant_sports_intel_models/baseball/edge_program/ablation_results/e7_12_artifacts/e7_12_slice1_pitchers_summary.json,e7_12_slice1 (pitcher),MiLB→MLB translation (pitcher),2016–2026 debut cohorts,k_pct,DROP,11.0,14.0,0.7272727272727273,8.0,1.057383103360559,0.4142857142857143,,,,,0.11307773896041491,,PBO,POWER_LIMITED,`k_pct`: insufficient recorded statistics to certify the null as powered. Absent a detectability figure the honest default is POWER-LIMITED — a null is trustworthy only when something was computed to make it so.,,,,,True,True,rich
quant_sports_intel_models/baseball/edge_program/ablation_results/e7_12_artifacts/e7_12_slice1_pitchers_summary.json,e7_12_slice1 (pitcher),MiLB→MLB translation (pitcher),2016–2026 debut cohorts,bb_pct,ADD,11.0,14.0,0.7272727272727273,8.0,3.1164540118690307,0.32857142857142857,,,,,0.05267463448260456,,nothing — this arm SHIPPED under its own study's gate,SHIPPED (not a null),`bb_pct`: this arm ADDed under its own study's pre-registered gate. It is in the inventory for completeness — a null classifier has nothing to say about a result that shipped.,,,,,True,True,rich
quant_sports_intel_models/baseball/edge_program/ablation_results/e7_12_artifacts/e7_12_slice1_pitchers_summary.json,e7_12_slice1 (pitcher),MiLB→MLB translation (pitcher),2016–2026 debut cohorts,hr_rate,ADD,11.0,14.0,0.7272727272727273,8.0,1.2762718661660026,0.17142857142857143,,,,,0.010091212323109272,,nothing — this arm SHIPPED under its own study's gate,SHIPPED (not a null),`hr_rate`: this arm ADDed under its own study's pre-registered gate. It is in the inventory for completeness — a null classifier has nothing to say about a result that shipped.,,,,,True,True,rich
quant_sports_intel_models/baseball/edge_program/ablation_results/e7_12_artifacts/e7_12_slice1_pitchers_summary.json,e7_12_slice1 (pitcher),MiLB→MLB translation (pitcher),2016–2026 debut cohorts,gb_pct,DROP,11.0,14.0,0.5454545454545454,6.0,0.3074097540357665,0.0,,,,,0.13346332111219086,,fold-consistency clause,POWER_LIMITED,`gb_pct`: insufficient recorded statistics to certify the null as powered. Absent a detectability figure the honest default is POWER-LIMITED — a null is trustworthy only when something was computed to make it so.,,,,,False,False,rich
quant_sports_intel_models/baseball/edge_program/ablation_results/e7_12_artifacts/e7_12_slice1_pitchers_summary.json,e7_12_slice1 (pitcher),MiLB→MLB translation (pitcher),2016–2026 debut cohorts,xwoba_against,DROP,4.0,14.0,0.5,2.0,1.339869130432299,0.5,,,,,0.21427559265638224,,fold-consistency clause,POWER_LIMITED,`xwoba_against`: insufficient recorded statistics to certify the null as powered. Absent a detectability figure the honest default is POWER-LIMITED — a null is trustworthy only when something was computed to make it so.,,,,,False,False,rich
quant_sports_intel_models/baseball/edge_program/ablation_results/e7_12_artifacts/e7_12_slice1_summary.json,e7_12_slice1 (batter),MiLB→MLB translation (batter),2016–2026 debut cohorts,woba,ADD,11.0,11.0,0.7272727272727273,8.0,0.931908310935137,0.2714285714285714,,,,,0.06026896246805901,,nothing — this arm SHIPPED under its own study's gate,SHIPPED (not a null),`woba`: this arm ADDed under its own study's pre-registered gate. It is in the inventory for completeness — a null classifier has nothing to say about a result that shipped.,,,,,True,True,rich
quant_sports_intel_models/baseball/edge_program/ablation_results/e7_12_artifacts/e7_12_slice1_summary.json,e7_12_slice1 (batter),MiLB→MLB translation (batter),2016–2026 debut cohorts,k_pct,ADD,11.0,11.0,0.7272727272727273,8.0,3.5004698925184203,0.3,,,,,0.021107673477703696,,nothing — this arm SHIPPED under its own study's gate,SHIPPED (not a null),`k_pct`: this arm ADDed under its own study's pre-registered gate. It is in the inventory for completeness — a null classifier has nothing to say about a result that shipped.,,,,,True,True,rich
quant_sports_intel_models/baseball/edge_program/ablation_results/e7_12_artifacts/e7_12_slice1_summary.json,e7_12_slice1 (batter),MiLB→MLB translation (batter),2016–2026 debut cohorts,bb_pct,ADD,11.0,11.0,0.8181818181818182,9.0,3.3367755075539,0.014285714285714285,,,,,0.015841138549684036,,nothing — this arm SHIPPED under its own study's gate,SHIPPED (not a null),`bb_pct`: this arm ADDed under its own study's pre-registered gate. It is in the inventory for completeness — a null classifier has nothing to say about a result that shipped.,,,,,True,True,rich
quant_sports_intel_models/baseball/edge_program/ablation_results/e7_12_artifacts/e7_12_slice1_summary.json,e7_12_slice1 (batter),MiLB→MLB translation (batter),2016–2026 debut cohorts,iso,ADD,11.0,11.0,0.9090909090909091,10.0,5.0600718820539905,0.0,,,,,0.0018847958510437707,,nothing — this arm SHIPPED under its own study's gate,SHIPPED (not a null),`iso`: this arm ADDed under its own study's pre-registered gate. It is in the inventory for completeness — a null classifier has nothing to say about a result that shipped.,,,,,True,True,rich
quant_sports_intel_models/baseball/edge_program/ablation_results/e7_15_artifacts/e7_15_h1_pitchers_summary.json,e7_15_h1 (pitcher),MiLB→MLB translation (pitcher),2016–2026 debut cohorts,k_pct,DROP,11.0,5.0,0.6363636363636364,7.0,0.11634490933187684,0.6714285714285714,0.8569800343170187,,0.28843818114606945,,0.06430371546185935,0.025,PBO,POWER_LIMITED,`k_pct`: insufficient recorded statistics to certify the null as powered. Absent a detectability figure the honest default is POWER-LIMITED — a null is trustworthy only when something was computed to make it so.,,,,,True,False,rich
